time,gFx,gFy,gFz,gFTotal
2.973,-0.048,-0.038,-0.998,0.999
2.983,-0.048,-0.038,-0.998,1.000
2.993,-0.047,-0.038,-0.994,0.995
3.003,-0.047,-0.038,-0.992,0.993
3.013,-0.048,-0.038,-0.994,0.996
3.023,-0.049,-0.037,-0.993,0.995
3.033,-0.048,-0.038,-0.995,0.997
3.043,-0.049,-0.040,-0.997,0.999
3.053,-0.049,-0.038,-0.998,1.000
3.063,-0.048,-0.038,-0.997,0.999
3.073,-0.048,-0.038,-0.993,0.995
3.082,-0.049,-0.039,-0.993,0.995
3.092,-0.049,-0.039,-0.994,0.996
3.103,-0.049,-0.037,-0.995,0.997
3.112,-0.049,-0.039,-0.996,0.998
3.122,-0.049,-0.038,-0.998,1.000
3.132,-0.049,-0.037,-0.995,0.997
3.143,-0.048,-0.038,-0.992,0.994
3.152,-0.048,-0.038,-0.991,0.993
3.162,-0.049,-0.037,-0.994,0.996
3.172,-0.050,-0.038,-0.997,0.999
3.182,-0.049,-0.039,-0.999,1.000
3.192,-0.050,-0.040,-0.997,0.999
3.202,-0.049,-0.038,-0.997,0.999
3.212,-0.048,-0.037,-0.994,0.996
3.222,-0.049,-0.038,-0.992,0.994
3.232,-0.047,-0.037,-0.992,0.994
3.242,-0.048,-0.038,-0.996,0.998
3.252,-0.048,-0.038,-0.995,0.997
3.262,-0.048,-0.039,-0.996,0.998
3.272,-0.047,-0.038,-0.995,0.997
3.282,-0.049,-0.038,-0.994,0.996
3.292,-0.048,-0.039,-0.994,0.996
3.302,-0.049,-0.038,-0.993,0.995
3.312,-0.049,-0.037,-0.993,0.995
3.322,-0.049,-0.037,-0.994,0.996
3.332,-0.049,-0.038,-0.996,0.998
3.342,-0.049,-0.037,-0.995,0.997
3.352,-0.049,-0.039,-0.996,0.997
3.362,-0.048,-0.037,-0.995,0.997
3.372,-0.050,-0.037,-0.994,0.996
3.382,-0.049,-0.038,-0.994,0.996
3.392,-0.049,-0.037,-0.993,0.995
3.402,-0.049,-0.038,-0.994,0.996
3.412,-0.049,-0.037,-0.995,0.997
3.422,-0.048,-0.038,-0.995,0.997
3.432,-0.049,-0.039,-0.995,0.997
3.442,-0.049,-0.038,-0.995,0.997
3.452,-0.049,-0.036,-0.993,0.995
3.462,-0.048,-0.038,-0.994,0.996
3.472,-0.048,-0.037,-0.995,0.997
3.482,-0.048,-0.038,-0.995,0.997
3.492,-0.047,-0.037,-0.995,0.996
3.502,-0.049,-0.038,-0.995,0.997
3.512,-0.048,-0.038,-0.993,0.995
3.522,-0.049,-0.038,-0.995,0.997
3.532,-0.049,-0.038,-0.999,1.000
3.542,-0.048,-0.039,-0.997,0.999
3.552,-0.049,-0.037,-0.995,0.997
3.562,-0.050,-0.038,-0.992,0.994
3.572,-0.048,-0.038,-0.992,0.994
3.582,-0.048,-0.039,-0.994,0.996
3.592,-0.048,-0.038,-0.996,0.998
3.602,-0.048,-0.038,-0.998,1.000
3.612,-0.048,-0.037,-0.997,0.998
3.622,-0.049,-0.038,-0.995,0.997
3.632,-0.049,-0.038,-0.993,0.995
3.642,-0.049,-0.039,-0.991,0.993
3.652,-0.048,-0.039,-0.994,0.996
3.662,-0.047,-0.039,-0.997,0.999
3.672,-0.050,-0.039,-0.996,0.998
3.682,-0.048,-0.039,-0.998,1.000
3.692,-0.048,-0.038,-0.995,0.996
3.702,-0.048,-0.038,-0.994,0.996
3.712,-0.050,-0.038,-0.993,0.995
3.722,-0.049,-0.038,-0.995,0.996
3.732,-0.049,-0.038,-0.996,0.998
3.742,-0.049,-0.037,-0.998,1.000
3.752,-0.049,-0.038,-0.997,0.999
3.761,-0.049,-0.037,-0.995,0.997
3.772,-0.048,-0.037,-0.993,0.994
3.782,-0.049,-0.037,-0.994,0.996
3.792,-0.048,-0.039,-0.994,0.996
3.801,-0.048,-0.038,-0.995,0.997
3.811,-0.048,-0.039,-0.996,0.998
3.822,-0.049,-0.038,-0.996,0.998
3.831,-0.049,-0.037,-0.997,0.999
3.842,-0.049,-0.038,-0.996,0.998
3.852,-0.048,-0.038,-0.993,0.995
3.861,-0.048,-0.038,-0.994,0.996
3.872,-0.049,-0.038,-0.995,0.997
3.881,-0.049,-0.037,-0.994,0.996
3.891,-0.048,-0.035,-0.996,0.997
3.901,-0.048,-0.037,-0.996,0.998
3.911,-0.048,-0.038,-0.995,0.997
3.921,-0.049,-0.038,-0.995,0.997
3.931,-0.048,-0.038,-0.996,0.998
3.941,-0.048,-0.036,-0.994,0.996
3.951,-0.049,-0.038,-0.995,0.997
3.961,-0.049,-0.039,-0.995,0.997
3.971,-0.049,-0.039,-0.996,0.998
3.981,-0.048,-0.037,-0.995,0.996
3.991,-0.047,-0.037,-0.994,0.996
4.001,-0.049,-0.038,-0.993,0.995
4.011,-0.048,-0.038,-0.993,0.995
4.021,-0.048,-0.037,-0.996,0.998
4.031,-0.049,-0.037,-0.998,1.000
4.041,-0.049,-0.038,-0.993,0.995
4.051,-0.049,-0.039,-0.994,0.996
4.061,-0.049,-0.038,-0.995,0.997
4.071,-0.050,-0.038,-0.996,0.998
4.081,-0.049,-0.038,-0.994,0.996
4.091,-0.050,-0.038,-0.996,0.998
4.101,-0.049,-0.038,-0.997,0.999
4.111,-0.047,-0.036,-0.994,0.996
4.121,-0.048,-0.038,-0.996,0.998
4.131,-0.049,-0.038,-0.995,0.997
4.141,-0.048,-0.037,-0.994,0.996
4.151,-0.048,-0.038,-0.994,0.996
4.161,-0.048,-0.038,-0.995,0.997
4.171,-0.048,-0.038,-0.996,0.998
4.181,-0.048,-0.037,-0.996,0.998
4.191,-0.049,-0.037,-0.995,0.997
4.201,-0.048,-0.037,-0.994,0.996
4.211,-0.049,-0.038,-0.994,0.996
4.221,-0.048,-0.038,-0.995,0.997
4.231,-0.048,-0.036,-0.997,0.999
4.241,-0.049,-0.037,-0.996,0.998
4.251,-0.049,-0.039,-0.996,0.998
4.261,-0.049,-0.039,-0.994,0.996
4.271,-0.050,-0.037,-0.992,0.994
4.281,-0.050,-0.037,-0.992,0.994
4.291,-0.049,-0.039,-0.995,0.997
4.301,-0.050,-0.039,-0.997,0.999
4.311,-0.050,-0.037,-0.997,0.999
4.321,-0.050,-0.038,-0.996,0.997
4.331,-0.048,-0.037,-0.996,0.997
4.341,-0.048,-0.038,-0.994,0.996
4.351,-0.049,-0.039,-0.993,0.995
4.361,-0.048,-0.039,-0.994,0.996
4.371,-0.048,-0.038,-0.997,0.999
4.381,-0.048,-0.038,-0.996,0.997
4.391,-0.047,-0.037,-0.996,0.998
4.401,-0.048,-0.036,-0.995,0.997
4.411,-0.049,-0.037,-0.995,0.996
4.421,-0.047,-0.039,-0.995,0.997
4.431,-0.048,-0.039,-0.994,0.996
4.441,-0.049,-0.039,-0.993,0.995
4.451,-0.048,-0.040,-0.995,0.997
4.461,-0.048,-0.038,-0.997,0.999
4.471,-0.051,-0.038,-0.996,0.998
4.481,-0.050,-0.038,-0.993,0.995
4.491,-0.048,-0.036,-0.993,0.995
4.501,-0.049,-0.036,-0.993,0.995
4.511,-0.049,-0.038,-0.995,0.997
4.521,-0.048,-0.038,-0.996,0.998
4.531,-0.049,-0.038,-0.997,0.998
4.541,-0.049,-0.038,-0.995,0.997
4.551,-0.048,-0.038,-0.994,0.996
4.560,-0.049,-0.039,-0.996,0.998
4.571,-0.049,-0.039,-0.996,0.997
4.580,-0.048,-0.039,-0.995,0.997
4.591,-0.048,-0.037,-0.994,0.996
4.600,-0.048,-0.038,-0.995,0.996
4.610,-0.048,-0.039,-0.997,0.999
4.620,-0.048,-0.038,-0.996,0.998
4.630,-0.049,-0.037,-0.994,0.996
4.640,-0.049,-0.038,-0.994,0.996
4.650,-0.048,-0.039,-0.996,0.998
4.660,-0.048,-0.039,-0.994,0.995
4.670,-0.049,-0.038,-0.995,0.997
4.681,-0.050,-0.039,-0.996,0.998
4.690,-0.049,-0.037,-0.994,0.996
4.700,-0.050,-0.037,-0.993,0.995
4.710,-0.049,-0.038,-0.994,0.996
4.720,-0.049,-0.037,-0.996,0.998
4.730,-0.049,-0.038,-0.995,0.997
4.740,-0.049,-0.039,-0.996,0.998
4.750,-0.049,-0.038,-0.995,0.997
4.760,-0.048,-0.039,-0.995,0.997
4.770,-0.049,-0.038,-0.996,0.998
4.780,-0.049,-0.038,-0.995,0.997
4.790,-0.048,-0.040,-0.994,0.996
4.800,-0.048,-0.039,-0.994,0.996
4.810,-0.048,-0.037,-0.995,0.997
4.820,-0.048,-0.039,-0.995,0.997
4.830,-0.048,-0.039,-0.995,0.997
4.840,-0.048,-0.038,-0.993,0.995
4.850,-0.047,-0.038,-0.995,0.997
4.860,-0.048,-0.039,-0.993,0.995
4.870,-0.049,-0.039,-0.995,0.997
4.880,-0.047,-0.037,-0.995,0.997
4.890,-0.048,-0.038,-0.993,0.995
4.900,-0.048,-0.038,-0.994,0.996
4.910,-0.049,-0.038,-0.995,0.997
4.920,-0.049,-0.037,-0.995,0.997
4.930,-0.049,-0.037,-0.994,0.996
4.940,-0.050,-0.038,-0.994,0.996
4.950,-0.048,-0.039,-0.995,0.997
4.960,-0.049,-0.039,-0.996,0.998
4.970,-0.049,-0.038,-0.994,0.996
4.980,-0.048,-0.038,-0.995,0.997
4.990,-0.049,-0.038,-0.995,0.997
5.000,-0.048,-0.038,-0.995,0.997
5.010,-0.049,-0.038,-0.995,0.997
5.020,-0.050,-0.038,-0.995,0.997
5.030,-0.049,-0.038,-0.996,0.998
5.040,-0.048,-0.038,-0.996,0.998
5.050,-0.047,-0.038,-0.995,0.996
5.060,-0.047,-0.038,-0.995,0.996
5.070,-0.049,-0.038,-0.993,0.995
5.080,-0.049,-0.037,-0.995,0.997
5.090,-0.047,-0.040,-0.996,0.998
5.100,-0.049,-0.037,-0.996,0.998
5.110,-0.048,-0.037,-0.996,0.998
5.120,-0.049,-0.037,-0.996,0.997
5.130,-0.049,-0.036,-0.995,0.997
5.140,-0.049,-0.038,-0.993,0.995
5.150,-0.049,-0.038,-0.994,0.996
5.160,-0.048,-0.038,-0.994,0.996
5.170,-0.049,-0.039,-0.995,0.997
5.180,-0.049,-0.038,-0.997,0.999
5.190,-0.049,-0.038,-0.996,0.998
5.200,-0.049,-0.038,-0.994,0.996
5.210,-0.048,-0.038,-0.994,0.996
5.219,-0.049,-0.037,-0.993,0.995
5.230,-0.049,-0.037,-0.995,0.997
5.240,-0.049,-0.037,-0.994,0.996
5.250,-0.049,-0.038,-0.996,0.998
5.260,-0.048,-0.037,-0.997,0.999
5.269,-0.048,-0.038,-0.995,0.997
5.279,-0.048,-0.039,-0.994,0.996
5.290,-0.048,-0.038,-0.994,0.996
5.299,-0.048,-0.037,-0.994,0.996
5.309,-0.048,-0.037,-0.994,0.996
5.319,-0.048,-0.037,-0.994,0.996
5.329,-0.048,-0.039,-0.995,0.997
5.340,-0.049,-0.037,-0.994,0.996
5.349,-0.049,-0.039,-0.994,0.996
5.360,-0.048,-0.038,-0.994,0.996
5.369,-0.049,-0.037,-0.996,0.997
5.379,-0.049,-0.038,-0.995,0.997
5.389,-0.048,-0.038,-0.996,0.998
5.399,-0.049,-0.038,-0.995,0.997
5.409,-0.048,-0.036,-0.995,0.997
5.419,-0.048,-0.039,-0.995,0.997
5.429,-0.048,-0.038,-0.997,0.999
5.439,-0.048,-0.038,-0.994,0.996
5.449,-0.049,-0.038,-0.995,0.996
5.459,-0.049,-0.037,-0.992,0.994
5.469,-0.048,-0.037,-0.994,0.996
5.479,-0.048,-0.037,-0.994,0.996
5.489,-0.048,-0.037,-0.996,0.998
5.499,-0.049,-0.037,-0.995,0.997
5.509,-0.048,-0.037,-0.995,0.997
5.519,-0.047,-0.038,-0.994,0.996
5.529,-0.047,-0.037,-0.993,0.995
5.539,-0.049,-0.039,-0.995,0.997
5.549,-0.049,-0.038,-0.995,0.997
5.559,-0.049,-0.037,-0.996,0.998
5.569,-0.048,-0.038,-0.996,0.998
5.579,-0.049,-0.038,-0.994,0.996
5.589,-0.049,-0.038,-0.995,0.997
5.599,-0.048,-0.038,-0.995,0.997
5.609,-0.048,-0.038,-0.994,0.996
5.619,-0.049,-0.038,-0.995,0.997
5.629,-0.050,-0.037,-0.996,0.998
5.639,-0.048,-0.038,-0.995,0.997
5.649,-0.048,-0.037,-0.995,0.997
5.659,-0.049,-0.038,-0.994,0.996
5.669,-0.047,-0.038,-0.996,0.997
5.679,-0.048,-0.038,-0.995,0.997
5.689,-0.049,-0.039,-0.995,0.997
5.699,-0.049,-0.037,-0.996,0.998
5.709,-0.048,-0.038,-0.995,0.997
5.719,-0.048,-0.039,-0.994,0.996
5.729,-0.048,-0.038,-0.994,0.996
5.739,-0.048,-0.038,-0.995,0.997
5.749,-0.047,-0.038,-0.995,0.997
5.759,-0.049,-0.038,-0.992,0.994
5.769,-0.050,-0.037,-0.994,0.996
5.779,-0.049,-0.038,-0.996,0.998
5.789,-0.049,-0.038,-0.996,0.998
5.799,-0.049,-0.038,-0.993,0.995
5.809,-0.051,-0.038,-0.994,0.996
5.819,-0.049,-0.038,-0.995,0.997
5.829,-0.048,-0.039,-0.995,0.996
5.839,-0.048,-0.038,-0.994,0.996
5.849,-0.049,-0.039,-0.995,0.997
5.859,-0.049,-0.038,-0.995,0.997
5.869,-0.048,-0.039,-0.995,0.997
5.879,-0.048,-0.037,-0.995,0.997
5.889,-0.048,-0.038,-0.995,0.997
5.899,-0.048,-0.038,-0.993,0.995
5.909,-0.048,-0.038,-0.994,0.996
5.919,-0.049,-0.038,-0.995,0.997
5.929,-0.048,-0.037,-0.996,0.998
5.939,-0.048,-0.037,-0.997,0.999
5.949,-0.048,-0.038,-0.996,0.998
5.959,-0.048,-0.038,-0.995,0.997
5.969,-0.049,-0.037,-0.995,0.997
5.978,-0.048,-0.036,-0.994,0.996
5.989,-0.050,-0.038,-0.993,0.995
5.998,-0.050,-0.038,-0.995,0.997
6.009,-0.049,-0.038,-0.994,0.996
6.018,-0.050,-0.038,-0.994,0.996
6.028,-0.049,-0.039,-0.994,0.996
6.039,-0.049,-0.037,-0.994,0.996
