
Frequency (Hz), Channel 1 Magnitude (dB), Channel 1 Phase (deg)
4.28768530e+02, 4.0064e-02, 9.9320e-02
4.03362564e+02, 5.6356e-02, 5.5831e-02
3.79461986e+02, 3.2094e-02, -3.6222e-02
3.56977598e+02, 3.3544e-02, 1.0377e-02
3.35825484e+02, 3.9243e-02, -1.6649e-02
3.15926704e+02, 5.8859e-02, -7.4024e-02
2.97206993e+02, 6.3804e-02, 7.9663e-04
2.79596487e+02, 4.3624e-02, -1.8488e-02
2.63029463e+02, 5.8773e-02, -5.5168e-02
2.47444089e+02, 6.9867e-02, 9.6637e-02
2.32782202e+02, 4.3738e-02, 1.8359e-02
2.18989080e+02, 6.7678e-02, 3.6921e-02
2.06013246e+02, 5.6381e-02, 5.7277e-02
1.93806274e+02, 4.8513e-02, 3.4384e-02
1.82322606e+02, 4.1976e-02, 8.8402e-03
1.71519383e+02, 4.7831e-02, -5.7745e-02
1.61356288e+02, 6.3194e-02, -1.5448e-02
1.51795389e+02, 6.4162e-02, -5.7871e-02
1.42801006e+02, 5.0559e-02, 1.3023e-01
1.34339570e+02, 3.0463e-02, 1.1731e-01
1.26379502e+02, 7.0840e-02, -5.9544e-02
1.18891095e+02, 6.6039e-02, 5.6224e-02
1.11846401e+02, 4.3954e-02, -1.7984e-02
1.05219129e+02, 5.7119e-02, -4.7541e-02
9.89845445e+01, 3.7274e-02, -6.7328e-02
9.31193801e+01, 7.2633e-02, 1.0684e-01
8.76017461e+01, 7.0104e-02, 2.0802e-02
8.24110505e+01, 4.3251e-02, -1.1129e-01
7.75279208e+01, 4.7733e-02, 1.2745e-02
7.29341329e+01, 2.3931e-02, -4.2452e-02
6.86125422e+01, 5.2470e-02, 6.1795e-02
6.45470202e+01, 4.4258e-02, 9.1338e-02
6.07223939e+01, 5.1201e-02, 6.7845e-03
5.71243895e+01, 6.0189e-02, 1.6884e-01
5.37395789e+01, 3.9378e-02, -2.2319e-03
