% Moku:Go Frequency Response Analyzer
% Channel 1, DC coupling, 10 Vpp range, amplitude 100 mVpp, offset 0.000 0 V, phase 0.000 deg
% Channel 2, DC coupling, 10 Vpp range, amplitude 100 mVpp, offset 0.000 0 V, phase 0.000 deg
% Logarithmic sweep from 20.00000 MHz to 3.440054 Hz with 256 pts, dynamic amplitude mode off, measuring fundamental, normalization off
% Averaging time 2.00 ms, 1 cycles; Settling time 100 us, 1 cycles
% Acquired 2023-10-24 T 16:25:22 +0100
% Frequency (Hz), Channel 1 Magnitude (dB), Channel 1 Phase (deg)
2.47444089e+02, -1.5530e+01, 7.9011e+01
2.32782202e+02, -1.6018e+01, 7.8137e+01
2.18989080e+02, -1.6570e+01, 8.0971e+01
2.06013246e+02, -1.7001e+01, 8.0449e+01
1.93806274e+02, -1.7676e+01, 8.1501e+01
1.82322606e+02, -1.8081e+01, 8.1229e+01
1.71519383e+02, -1.8583e+01, 8.1850e+01
1.61356288e+02, -1.8914e+01, 8.1946e+01
1.51795389e+02, -1.9586e+01, 8.1605e+01
1.42801006e+02, -2.0206e+01, 8.2758e+01
1.34339570e+02, -2.0567e+01, 8.4391e+01
1.26379502e+02, -2.1148e+01, 8.3271e+01
1.18891095e+02, -2.1357e+01, 8.2917e+01
1.11846401e+02, -2.2229e+01, 8.5957e+01
1.05219129e+02, -2.2760e+01, 8.6220e+01
9.89845445e+01, -2.3312e+01, 8.5978e+01
9.31193801e+01, -2.3634e+01, 8.4903e+01
8.76017461e+01, -2.3995e+01, 8.4639e+01
8.24110505e+01, -2.4659e+01, 8.3279e+01
7.75279208e+01, -2.4663e+01, 8.8487e+01
7.29341329e+01, -2.5829e+01, 8.6144e+01
6.86125422e+01, -2.5915e+01, 8.7179e+01
6.45470202e+01, -2.6976e+01, 8.8752e+01
6.07223939e+01, -2.6973e+01, 8.6274e+01
5.71243895e+01, -2.7608e+01, 8.2002e+01
5.37395789e+01, -2.8319e+01, 8.9932e+01
5.05553295e+01, -2.8957e+01, 9.0612e+01
4.75597576e+01, -2.9798e+01, 8.4423e+01
4.47416833e+01, -2.9114e+01, 8.4708e+01
4.20905893e+01, -3.0065e+01, 9.1852e+01
3.95965815e+01, -3.1588e+01, 8.6470e+01
3.72503520e+01, -3.1452e+01, 9.1279e+01
