	mass_A
t	x
2.245833E1	1.426578E-1
2.246167E1	1.424367E-1
2.246667E1	1.421559E-1
2.247000E1	1.419372E-1
2.247500E1	1.415860E-1
2.247833E1	1.413106E-1
2.248333E1	1.411038E-1
2.248667E1	1.405917E-1
2.249167E1	1.405489E-1
2.249500E1	1.403954E-1
2.250000E1	1.397252E-1
2.250833E1	1.394396E-1
2.251167E1	1.388724E-1
2.252000E1	1.385196E-1
2.252500E1	1.381220E-1
2.252833E1	1.377002E-1
2.253333E1	1.373861E-1
2.253667E1	1.369415E-1
2.254167E1	1.363986E-1
2.254500E1	1.362437E-1
2.255000E1	1.356178E-1
2.255333E1	1.351385E-1
2.255833E1	1.348040E-1
2.256167E1	1.339302E-1
2.257000E1	1.329642E-1
2.257833E1	1.324040E-1
2.258333E1	1.321145E-1
2.258667E1	1.316071E-1
2.259167E1	1.309915E-1
2.259500E1	1.305436E-1
2.260000E1	1.297852E-1
2.260333E1	1.291476E-1
2.260833E1	1.287051E-1
2.261167E1	1.279019E-1
2.261667E1	1.276518E-1
2.262000E1	1.270629E-1
2.262500E1	1.263626E-1
2.262833E1	1.245368E-1
2.264167E1	1.239634E-1
2.264500E1	1.232996E-1
2.265000E1	1.228781E-1
2.265500E1	1.213978E-1
2.266333E1	1.207977E-1
2.266667E1	1.201635E-1
2.267167E1	1.194646E-1
2.267500E1	1.188322E-1
2.268000E1	1.180704E-1
2.268333E1	1.171895E-1
2.268833E1	1.167662E-1
2.269167E1	1.160955E-1
2.269667E1	1.135584E-1
2.270833E1	1.129225E-1
2.271333E1	1.121451E-1
2.271667E1	1.114745E-1
2.272167E1	1.097657E-1
2.273000E1	1.086274E-1
2.273333E1	1.076979E-1
2.273833E1	1.066663E-1
2.274167E1	1.057929E-1
2.274667E1	1.048665E-1
2.275000E1	1.039308E-1
2.275500E1	1.029552E-1
2.275833E1	1.021442E-1
2.276333E1	1.011281E-1
2.276667E1	1.000429E-1
2.277167E1	9.826643E-2
2.278000E1	9.709681E-2
2.278333E1	9.608344E-2
2.278833E1	9.479826E-2
2.279167E1	9.358488E-2
2.279667E1	9.250163E-2
2.280000E1	9.140000E-2
2.280500E1	9.064932E-2
2.280833E1	8.958500E-2
2.281333E1	8.852432E-2
2.281667E1	8.739570E-2
2.282167E1	8.491865E-2
2.283000E1	8.280505E-2
2.283833E1	8.168359E-2
2.284167E1	8.037116E-2
2.284667E1	7.938417E-2
2.285000E1	7.817037E-2
2.285500E1	7.714126E-2
2.285833E1	7.573695E-2
2.286333E1	7.466976E-2
2.286667E1	7.343119E-2
2.287167E1	7.224955E-2
2.287500E1	7.101939E-2
2.288000E1	7.015826E-2
2.288333E1	6.741172E-2
2.289167E1	6.622101E-2
2.289667E1	6.388595E-2
2.290500E1	5.978507E-2
2.290833E1	5.862207E-2
2.291333E1	5.739785E-2
2.291667E1	5.611367E-2
2.292167E1	5.508063E-2
2.292500E1	5.378174E-2
2.293000E1	5.245299E-2
2.293333E1	5.109274E-2
2.293833E1	4.997138E-2
2.294167E1	4.838264E-2
2.294667E1	4.591543E-2
2.295500E1	4.446363E-2
2.295833E1	4.184101E-2
2.296667E1	4.311447E-2
2.297167E1	3.932246E-2
2.297500E1	3.765213E-2
2.298000E1	3.632327E-2
2.298333E1	3.499398E-2
2.298833E1	3.352892E-2
2.299167E1	3.216689E-2
2.299667E1	3.316381E-2
2.300000E1	3.151197E-2
2.300500E1	3.013883E-2
2.300833E1	2.859179E-2
2.301333E1	2.291585E-2
2.303000E1	2.131673E-2
2.303333E1	1.990663E-2
2.303833E1	1.842103E-2
2.304167E1	1.542293E-2
2.305000E1	1.387943E-2
2.305500E1	1.270477E-2
2.305833E1	1.140492E-2
2.306333E1	9.677623E-3
2.306667E1	8.075161E-3
2.307167E1	6.805254E-3
2.307500E1	5.215861E-3
2.308000E1	3.884401E-3
2.308333E1	2.188149E-3
2.308833E1	-3.868178E-3
2.309667E1	-2.561944E-3
2.310000E1	-4.309619E-3
2.310500E1	-5.668405E-3
2.310833E1	-7.098092E-3
2.311333E1	-8.753728E-3
2.311667E1	-1.334761E-2
2.312167E1	-1.176922E-2
2.312500E1	-1.329235E-2
2.313000E1	-1.450501E-2
2.313333E1	-1.940290E-2
2.313833E1	-2.133643E-2
2.315000E1	-2.414595E-2
2.315833E1	-2.604045E-2
2.316333E1	-3.047639E-2
2.316667E1	-3.359220E-2
2.317500E1	-3.239663E-2
2.318000E1	-3.374355E-2
2.318333E1	-3.571627E-2
2.318833E1	-3.704532E-2
2.319167E1	-3.861444E-2
2.319667E1	-4.028009E-2
2.320000E1	-4.166061E-2
2.320500E1	-4.333400E-2
2.320833E1	-4.338794E-2
2.321333E1	-4.479559E-2
2.321667E1	-5.400025E-2
2.322500E1	-4.937213E-2
2.323000E1	-5.414296E-2
2.323333E1	-5.559242E-2
2.323833E1	-5.501127E-2
2.324167E1	-5.626910E-2
2.324667E1	-5.740475E-2
2.325000E1	-6.666131E-2
2.325500E1	-6.677798E-2
2.325833E1	-6.511961E-2
2.326333E1	-6.660631E-2
2.326667E1	-6.587983E-2
2.327167E1	-6.911853E-2
2.328000E1	-7.063821E-2
2.328333E1	-7.279780E-2
2.328833E1	-7.565103E-2
2.329667E1	-7.708071E-2
2.330167E1	-8.021545E-2
2.330500E1	-8.092733E-2
2.331000E1	-8.469614E-2
2.331333E1	-9.179764E-2
2.331833E1	-9.490469E-2
2.332167E1	-8.721232E-2
2.333833E1	-9.372353E-2
2.334333E1	-9.794908E-2
2.334667E1	-1.007765E-1
2.335500E1	-1.006400E-1
2.336000E1	-1.020849E-1
2.336333E1	-1.045163E-1
2.336833E1	-1.057580E-1
2.337167E1	-1.096468E-1
2.337667E1	-1.091435E-1
2.338000E1	-1.104566E-1
2.338500E1	-1.192466E-1
2.338833E1	-1.136105E-1
2.339333E1	-1.144240E-1
2.339667E1	-1.189696E-1
2.340167E1	-1.191317E-1
2.341000E1	-1.205786E-1
2.341333E1	-1.243207E-1
2.341833E1	-1.235863E-1
2.342167E1	-1.250088E-1
2.342667E1	-1.269191E-1
2.343000E1	-1.286688E-1
2.343500E1	-1.300453E-1
2.343833E1	-1.332353E-1
2.344333E1	-1.346931E-1
2.344667E1	-1.447552E-1
2.345167E1	-1.385657E-1
2.345500E1	-1.408863E-1
2.346000E1	-1.480072E-1
2.346833E1	-1.486387E-1
2.347167E1	-1.486277E-1
2.348000E1	-1.477606E-1
2.348500E1	-1.501530E-1
2.348833E1	-1.516776E-1
2.349333E1	-1.522728E-1
2.349667E1	-1.416299E-1
2.350167E1	-1.429567E-1
2.350500E1	-1.447551E-1
2.351000E1	-1.458484E-1
2.351333E1	-1.474053E-1
2.351833E1	-1.466727E-1
2.352167E1	-1.478361E-1
2.352667E1	-1.489964E-1
2.353500E1	-1.551476E-1
2.354333E1	-1.532239E-1
2.354667E1	-1.547837E-1
2.355167E1	-1.559400E-1
2.355500E1	-1.574545E-1
2.356000E1	-1.582184E-1
2.356333E1	-1.609004E-1
2.356833E1	-1.620974E-1
2.357167E1	-1.632102E-1
2.357667E1	-1.644094E-1
2.358000E1	-1.659385E-1
2.358500E1	-1.674040E-1
2.358833E1	-1.682641E-1
2.359333E1	-1.725061E-1
2.360500E1	-1.736422E-1
2.361000E1	-1.747929E-1
2.361333E1	-1.761953E-1
2.361833E1	-1.775474E-1
2.362167E1	-1.786593E-1
2.362667E1	-1.797750E-1
2.363000E1	-1.811804E-1
2.363500E1	-1.828629E-1
2.363833E1	-1.839981E-1
2.364333E1	-1.850975E-1
2.364667E1	-1.865917E-1
2.365167E1	-1.878779E-1
2.365500E1	-1.916419E-1
2.366833E1	-1.927851E-1
2.367167E1	-1.941090E-1
2.367667E1	-1.954092E-1
2.368000E1	-1.981894E-1
2.368833E1	-1.992953E-1
2.369333E1	-2.008641E-1
2.369667E1	-2.019523E-1
2.370167E1	-2.031520E-1
2.370500E1	-2.046328E-1
2.371000E1	-2.055570E-1
2.371333E1	-2.067511E-1
2.371833E1	-2.078336E-1
2.372167E1	-2.089230E-1
2.372667E1	-2.100923E-1
2.373000E1	-2.124493E-1
2.373833E1	-2.135737E-1
2.374333E1	-2.146847E-1
2.374667E1	-2.158233E-1
2.375167E1	-2.171058E-1
2.375500E1	-2.178861E-1
2.376000E1	-2.186794E-1
2.376333E1	-2.197740E-1
2.376833E1	-2.207566E-1
2.377167E1	-2.217338E-1
2.377667E1	-2.224949E-1
2.378000E1	-2.246448E-1
2.378833E1	-2.266478E-1
2.379667E1	-2.274301E-1
2.380167E1	-2.285296E-1
2.380500E1	-2.293765E-1
2.381000E1	-2.303871E-1
2.381333E1	-2.313240E-1
2.381833E1	-2.320224E-1
2.382167E1	-2.328793E-1
2.382667E1	-2.336307E-1
2.383000E1	-2.343984E-1
2.383500E1	-2.350892E-1
2.383833E1	-2.361687E-1
2.384333E1	-2.370138E-1
2.384667E1	-2.384911E-1
2.385500E1	-2.401481E-1
2.386333E1	-2.407826E-1
2.386833E1	-2.415960E-1
2.387167E1	-2.424926E-1
2.387667E1	-2.431216E-1
2.388000E1	-2.442455E-1
2.388500E1	-2.451202E-1
2.388833E1	-2.457288E-1
2.389333E1	-2.469326E-1
2.389667E1	-2.474169E-1
2.390167E1	-2.481192E-1
2.390500E1	-2.488360E-1
2.391000E1	-2.496200E-1
2.391333E1	-2.504611E-1
2.392167E1	-2.509168E-1
2.392667E1	-2.519399E-1
2.393000E1	-2.526773E-1
2.393500E1	-2.534514E-1
2.393833E1	-2.539288E-1
2.394333E1	-2.543416E-1
2.394667E1	-2.547084E-1
2.395167E1	-2.551056E-1
2.395667E1	-2.554969E-1
2.396000E1	-2.561634E-1
2.396500E1	-2.565721E-1
2.396833E1	-2.569064E-1
2.397333E1	-2.581296E-1
2.398167E1	-2.589259E-1
2.399000E1	-2.590041E-1
2.399333E1	-2.596259E-1
2.399833E1	-2.597862E-1
2.400167E1	-2.603982E-1
2.400667E1	-2.608451E-1
2.401000E1	-2.608945E-1
2.401500E1	-2.611382E-1
2.401833E1	-2.617075E-1
2.402333E1	-2.619227E-1
2.402667E1	-2.622923E-1
2.403167E1	-2.624573E-1
2.403500E1	-2.630762E-1
2.404000E1	-2.631314E-1
2.404833E1	-2.638985E-1
2.405667E1	-2.639214E-1
2.406000E1	-2.639583E-1
2.406500E1	-2.641262E-1
2.406833E1	-2.643457E-1
2.407333E1	-2.643427E-1
2.407667E1	-2.646375E-1
2.408167E1	-2.647612E-1
2.408500E1	-2.646943E-1
