	mass_A
t	x
2.215333E1	4.069959E-1
2.215833E1	4.077058E-1
2.216167E1	4.084585E-1
2.216667E1	4.088848E-1
2.217000E1	4.096635E-1
2.217500E1	4.103895E-1
2.217833E1	4.108374E-1
2.218333E1	4.119695E-1
2.219167E1	4.126778E-1
2.219500E1	4.138275E-1
2.220333E1	4.142676E-1
2.220833E1	4.146478E-1
2.221167E1	4.150713E-1
2.221667E1	4.154471E-1
2.222000E1	4.161500E-1
2.222500E1	4.165577E-1
2.222833E1	4.169564E-1
2.223333E1	4.173953E-1
2.223667E1	4.180921E-1
2.224167E1	4.184888E-1
2.224500E1	4.189109E-1
2.225000E1	4.196602E-1
2.225833E1	4.200343E-1
2.226167E1	4.203926E-1
2.226667E1	4.204477E-1
2.227000E1	4.208408E-1
2.227500E1	4.212100E-1
2.227833E1	4.215918E-1
2.228333E1	4.219450E-1
2.228667E1	4.223036E-1
2.229167E1	4.226788E-1
2.229500E1	4.230611E-1
2.230000E1	4.231027E-1
2.230333E1	4.234590E-1
2.230833E1	4.238402E-1
2.231667E1	4.242361E-1
2.232500E1	4.246261E-1
2.232833E1	4.246764E-1
2.233333E1	4.250106E-1
2.233667E1	4.250384E-1
2.234167E1	4.253591E-1
2.234500E1	4.254017E-1
2.235000E1	4.254632E-1
2.235333E1	4.257900E-1
2.235833E1	4.258138E-1
2.236167E1	4.258540E-1
2.236667E1	4.258767E-1
2.237000E1	4.259037E-1
2.237500E1	4.261687E-1
2.238667E1	4.262126E-1
2.239167E1	4.262072E-1
2.239500E1	4.261691E-1
2.240000E1	4.261849E-1
2.240333E1	4.261847E-1
2.240833E1	4.261871E-1
2.241167E1	4.261893E-1
2.241667E1	4.261913E-1
2.242000E1	4.261553E-1
2.242500E1	4.261286E-1
2.242833E1	4.260848E-1
2.243333E1	4.260577E-1
2.243667E1	4.259438E-1
2.244167E1	4.256556E-1
2.245000E1	4.255459E-1
2.245333E1	4.252883E-1
2.245833E1	4.252620E-1
2.246167E1	4.250018E-1
2.246667E1	4.249537E-1
2.247000E1	4.247536E-1
2.247500E1	4.244003E-1
2.247833E1	4.241169E-1
2.248333E1	4.239979E-1
2.248667E1	4.237230E-1
2.249167E1	4.234972E-1
2.249500E1	4.231745E-1
2.250000E1	4.224663E-1
2.250833E1	4.222100E-1
2.251167E1	4.216209E-1
2.252000E1	4.213208E-1
2.252500E1	4.209183E-1
2.252833E1	4.205606E-1
2.253333E1	4.201389E-1
2.253667E1	4.198376E-1
2.254167E1	4.193400E-1
2.254500E1	4.188831E-1
2.255000E1	4.183984E-1
2.255333E1	4.179707E-1
2.255833E1	4.176726E-1
2.256167E1	4.167366E-1
2.257000E1	4.156173E-1
2.257833E1	4.151805E-1
2.258333E1	4.145713E-1
2.258667E1	4.140711E-1
2.259167E1	4.135333E-1
2.259500E1	4.131244E-1
2.260000E1	4.124755E-1
2.260333E1	4.119795E-1
2.260833E1	4.113709E-1
2.261167E1	4.106660E-1
2.261667E1	4.101618E-1
2.262000E1	4.095107E-1
2.262500E1	4.089612E-1
2.262833E1	4.069219E-1
2.264167E1	4.063297E-1
2.264500E1	4.054072E-1
2.265000E1	4.049395E-1
2.265500E1	4.034788E-1
2.266333E1	4.027275E-1
2.266667E1	4.019007E-1
2.267167E1	4.012519E-1
2.267500E1	4.005240E-1
2.268000E1	3.996992E-1
2.268333E1	3.989887E-1
2.268833E1	3.980464E-1
2.269167E1	3.972161E-1
2.269667E1	3.946576E-1
2.270833E1	3.938964E-1
2.271333E1	3.931510E-1
2.271667E1	3.922826E-1
2.272167E1	3.904203E-1
2.273000E1	3.896361E-1
2.273333E1	3.885537E-1
2.273833E1	3.876774E-1
2.274167E1	3.868171E-1
2.274667E1	3.857911E-1
2.275000E1	3.848981E-1
2.275500E1	3.839341E-1
2.275833E1	3.830545E-1
2.276333E1	3.822482E-1
2.276667E1	3.811114E-1
2.277167E1	3.792072E-1
2.278000E1	3.780800E-1
2.278333E1	3.772753E-1
2.278833E1	3.761607E-1
2.279167E1	3.750695E-1
2.279667E1	3.741930E-1
2.280000E1	3.731144E-1
2.280500E1	3.720062E-1
2.280833E1	3.708570E-1
2.281333E1	3.697566E-1
2.281667E1	3.688127E-1
2.282167E1	3.665444E-1
2.283000E1	3.645695E-1
2.283833E1	3.631232E-1
2.284167E1	3.622511E-1
2.284667E1	3.608747E-1
2.285000E1	3.597498E-1
2.285500E1	3.587716E-1
2.285833E1	3.573928E-1
2.286333E1	3.562853E-1
2.286667E1	3.551309E-1
2.287167E1	3.539312E-1
2.287500E1	3.527100E-1
2.288000E1	3.515135E-1
2.288333E1	3.492166E-1
2.289167E1	3.480168E-1
2.289667E1	3.454107E-1
2.290500E1	3.442303E-1
2.290833E1	3.430899E-1
2.291333E1	3.418529E-1
2.291667E1	3.405121E-1
2.292167E1	3.392171E-1
2.292500E1	3.379947E-1
2.293000E1	3.366087E-1
2.293333E1	3.354034E-1
2.293833E1	3.341772E-1
2.294167E1	3.327572E-1
2.294667E1	3.300852E-1
2.295500E1	3.288533E-1
2.295833E1	3.262127E-1
2.296667E1	3.249292E-1
2.297167E1	3.235793E-1
2.297500E1	3.222256E-1
2.298000E1	3.208123E-1
2.298333E1	3.193620E-1
2.298833E1	3.179847E-1
2.299167E1	3.165852E-1
2.299667E1	3.153511E-1
2.300000E1	3.138569E-1
2.300500E1	3.124624E-1
2.300833E1	3.110750E-1
2.301333E1	3.053121E-1
2.303000E1	3.037790E-1
2.303333E1	3.024264E-1
2.303833E1	3.007573E-1
2.304167E1	2.979801E-1
2.305000E1	2.965349E-1
2.305500E1	2.951079E-1
2.305833E1	2.934655E-1
2.306333E1	2.919314E-1
2.306667E1	2.906613E-1
2.307167E1	2.891246E-1
2.307500E1	2.876263E-1
2.308000E1	2.860997E-1
2.308333E1	2.845576E-1
2.308833E1	2.815094E-1
2.309667E1	2.799869E-1
2.310000E1	2.783753E-1
2.310500E1	2.768936E-1
2.310833E1	2.753424E-1
2.311333E1	2.738590E-1
2.311667E1	2.722903E-1
2.312167E1	2.707986E-1
2.312500E1	2.692009E-1
2.313000E1	2.676511E-1
2.313333E1	2.661346E-1
2.313833E1	2.614236E-1
2.315000E1	2.583925E-1
2.315833E1	2.565445E-1
2.316333E1	2.549890E-1
2.316667E1	2.518647E-1
2.317500E1	2.503037E-1
2.318000E1	2.487276E-1
2.318333E1	2.471905E-1
2.318833E1	2.453897E-1
2.319167E1	2.437842E-1
2.319667E1	2.422373E-1
2.320000E1	2.406570E-1
2.320500E1	2.391143E-1
2.320833E1	2.372738E-1
2.321333E1	2.356905E-1
2.321667E1	2.323074E-1
2.322500E1	2.307183E-1
2.323000E1	2.291637E-1
2.323333E1	2.275554E-1
2.323833E1	2.257862E-1
2.324167E1	2.241525E-1
2.324667E1	2.225662E-1
2.325000E1	2.207484E-1
2.325500E1	2.191782E-1
2.325833E1	2.175981E-1
2.326333E1	2.160120E-1
2.326667E1	2.141867E-1
2.327167E1	2.110068E-1
2.328000E1	2.094802E-1
2.328333E1	2.076540E-1
2.328833E1	2.044535E-1
2.329667E1	2.026821E-1
2.330167E1	2.010622E-1
2.330500E1	1.994785E-1
2.331000E1	1.976445E-1
2.331333E1	1.960635E-1
2.331833E1	1.944502E-1
2.332167E1	1.926229E-1
2.332667E1	1.910338E-1
2.333000E1	1.894491E-1
2.333500E1	1.876355E-1
2.333833E1	1.860371E-1
2.334333E1	1.844968E-1
2.334667E1	1.810741E-1
2.335500E1	1.794700E-1
2.336000E1	1.776387E-1
2.336333E1	1.760210E-1
2.336833E1	1.741861E-1
2.337167E1	1.726432E-1
2.337667E1	1.710149E-1
2.338000E1	1.691665E-1
2.338500E1	1.675461E-1
2.338833E1	1.659846E-1
2.339333E1	1.641951E-1
2.339667E1	1.625856E-1
2.340167E1	1.591293E-1
2.341000E1	1.575557E-1
2.341333E1	1.559758E-1
2.341833E1	1.541912E-1
2.342167E1	1.525899E-1
2.342667E1	1.509982E-1
2.343000E1	1.494390E-1
2.343500E1	1.476348E-1
2.343833E1	1.460394E-1
2.344333E1	1.444215E-1
2.344667E1	1.426471E-1
2.345167E1	1.410891E-1
2.345500E1	1.394802E-1
2.346000E1	1.360686E-1
2.346833E1	1.345107E-1
2.347167E1	1.313008E-1
2.348000E1	1.298066E-1
2.348500E1	1.282506E-1
2.348833E1	1.264133E-1
2.349333E1	1.249023E-1
2.349667E1	1.232901E-1
2.350167E1	1.217445E-1
2.350500E1	1.201571E-1
2.351000E1	1.186377E-1
2.351333E1	1.171095E-1
2.351833E1	1.155437E-1
2.352167E1	1.141008E-1
2.352667E1	1.106769E-1
2.353500E1	1.075628E-1
2.354333E1	1.060423E-1
2.354667E1	1.044787E-1
2.355167E1	1.029343E-1
2.355500E1	1.014305E-1
