"t(s)","a(m/s²)"
4.223754708E0,9.761051788E0
4.233742708E0,9.775721283E0
4.243730708E0,9.771979065E0
4.253717708E0,9.772727509E0
4.263706708E0,9.775272217E0
4.273693708E0,9.766739960E0
4.283682708E0,9.746831360E0
4.293669708E0,9.773475952E0
4.303657708E0,9.773925018E0
4.313645708E0,9.767338715E0
4.323633708E0,9.764644318E0
4.333621708E0,9.767189026E0
4.343609708E0,9.764195251E0
4.353597708E0,9.766739960E0
4.363584708E0,9.768685913E0
4.373572708E0,9.763446808E0
4.383560708E0,9.771529999E0
4.393548708E0,9.776320038E0
4.403535708E0,9.776918793E0
4.413524708E0,9.766739960E0
4.423512708E0,9.773925018E0
4.433501708E0,9.783654785E0
4.443488708E0,9.771529999E0
4.453475708E0,9.751471710E0
4.463463708E0,9.768985291E0
4.473449708E0,9.750573578E0
4.483437708E0,9.777068481E0
4.493425708E0,9.765692139E0
4.503412708E0,9.760003967E0
4.513400708E0,9.770482178E0
4.523388708E0,9.759554901E0
4.533375708E0,9.750124512E0
4.543362708E0,9.766290894E0
4.553351708E0,9.770332489E0
4.563338708E0,9.768536224E0
4.573326708E0,9.770482178E0
4.583315708E0,9.769584045E0
4.593303708E0,9.782307587E0
4.603291708E0,9.783654785E0
4.613280708E0,9.790690155E0
4.623268708E0,9.764943695E0
4.633255708E0,9.750723267E0
4.643242708E0,9.760003967E0
4.653229708E0,9.761051788E0
4.663216708E0,9.757608948E0
4.673203708E0,9.752818909E0
4.683190333E0,9.788744202E0
4.693177333E0,9.773625641E0
4.703165333E0,9.781858521E0
4.713151333E0,9.781858521E0
4.723138333E0,9.778116302E0
4.733124333E0,9.753118286E0
4.743111333E0,9.776769104E0
4.753098333E0,9.791887665E0
4.763085333E0,9.759255524E0
4.773071333E0,9.739197235E0
4.783057333E0,9.756860504E0
4.793044333E0,9.780511322E0
4.803031333E0,9.751322021E0
4.813018333E0,9.765093384E0
4.823005333E0,9.765093384E0
4.832991333E0,9.769883423E0
4.842979333E0,9.771979065E0
4.852966333E0,9.763895874E0
4.862953333E0,9.777218170E0
4.872940333E0,9.780810699E0
4.882927333E0,9.764943695E0
4.892915333E0,9.767189026E0
4.902902333E0,9.780361633E0
4.912889333E0,9.767488403E0
4.922876333E0,9.787696381E0
4.932864333E0,9.744586029E0
4.942851333E0,9.765093384E0
4.952839333E0,9.758058014E0
4.962826333E0,9.762848053E0
4.972813333E0,9.772877197E0
4.982802333E0,9.785900116E0
4.992790333E0,9.769284668E0
5.002779333E0,9.780361633E0
5.012767333E0,9.770482178E0
5.022754333E0,9.757309570E0
5.032743333E0,9.753267975E0
5.042730333E0,9.765841827E0
5.052718333E0,9.775721283E0
5.062706333E0,9.777367859E0
5.072694333E0,9.759704590E0
5.082683333E0,9.766440582E0
5.092672333E0,9.769883423E0
5.102660333E0,9.770781555E0
5.112648333E0,9.772577820E0
5.122636333E0,9.768386536E0
5.132624333E0,9.763297119E0
5.142613333E0,9.772128754E0
5.152601333E0,9.761500854E0
5.162589333E0,9.771380310E0
5.172577333E0,9.762548676E0
5.182566333E0,9.753567352E0
5.192553333E0,9.763596497E0
5.202540333E0,9.776020660E0
5.212528333E0,9.761351166E0
5.222515333E0,9.764943695E0
5.232502333E0,9.747130737E0
5.242491333E0,9.754315796E0
5.252479333E0,9.750872955E0
5.262467333E0,9.760453033E0
5.272455333E0,9.778415680E0
