
Frequency (Hz), Channel 1 Magnitude (dB), Channel 1 Phase (deg)
1.83094617e+05, 2.6622e+00, -2.3560e+00
1.77633512e+05, 2.6548e+00, -2.2853e+00
1.72335294e+05, 2.6503e+00, -2.1912e+00
1.67195104e+05, 2.6458e+00, -2.1187e+00
1.62208229e+05, 2.6378e+00, -2.0563e+00
1.57370095e+05, 2.6312e+00, -1.9804e+00
1.52676268e+05, 2.6271e+00, -1.9193e+00
1.48122441e+05, 2.6218e+00, -1.8420e+00
1.43704440e+05, 2.6224e+00, -1.7799e+00
1.39418214e+05, 2.6137e+00, -1.7329e+00
1.35259831e+05, 2.6098e+00, -1.6833e+00
1.31225479e+05, 2.6051e+00, -1.6052e+00
1.27311458e+05, 2.6014e+00, -1.5367e+00
1.23514180e+05, 2.6006e+00, -1.5117e+00
1.19830162e+05, 2.5987e+00, -1.4627e+00
1.16256026e+05, 2.5975e+00, -1.4025e+00
1.12788494e+05, 2.5930e+00, -1.3385e+00
1.09424387e+05, 2.5913e+00, -1.2889e+00
1.06160621e+05, 2.5903e+00, -1.2526e+00
1.02994202e+05, 2.5883e+00, -1.2056e+00
9.99222266e+04, 2.5851e+00, -1.1647e+00
9.69418782e+04, 2.5859e+00, -1.1305e+00
9.40504236e+04, 2.5826e+00, -1.0662e+00
9.12452115e+04, 2.5810e+00, -1.0229e+00
8.85236696e+04, 2.5804e+00, -9.8669e-01
8.58833022e+04, 2.5757e+00, -9.4341e-01
8.33216883e+04, 2.5745e+00, -8.9154e-01
8.08364788e+04, 2.5711e+00, -8.4895e-01
7.84253948e+04, 2.5712e+00, -8.3879e-01
7.60862255e+04, 2.5681e+00, -8.0419e-01
7.38168259e+04, 2.5645e+00, -7.4991e-01
7.16151149e+04, 2.5664e+00, -7.1673e-01
6.94790736e+04, 2.5644e+00, -6.8534e-01
6.74067434e+04, 2.5616e+00, -6.6630e-01
6.53962239e+04, 2.5608e+00, -6.2443e-01
6.34456715e+04, 2.5606e+00, -6.0459e-01
6.15532976e+04, 2.5597e+00, -5.5806e-01
5.97173670e+04, 2.5587e+00, -5.3071e-01
5.79361961e+04, 2.5580e+00, -4.8028e-01
5.62081516e+04, 2.5559e+00, -4.7950e-01
5.45316489e+04, 2.5513e+00, -4.2838e-01
5.29051507e+04, 2.5508e+00, -4.1439e-01
5.13271656e+04, 2.5533e+00, -4.0387e-01
4.97962466e+04, 2.5510e+00, -3.5504e-01
4.83109898e+04, 2.5485e+00, -3.6299e-01
4.68700332e+04, 2.5498e+00, -2.9317e-01
4.54720557e+04, 2.5425e+00, -2.7587e-01
4.41157751e+04, 2.5452e+00, -2.7529e-01
4.27999479e+04, 2.5413e+00, -2.4867e-01
4.15233675e+04, 2.5402e+00, -2.2347e-01
