
Frequency (Hz), Channel 1 Magnitude (dB), Channel 1 Phase (deg)
6.40404626e+04, -4.3251e+01, -1.7512e+02
6.27565052e+04, -4.1464e+01, -1.7481e+02
6.14982900e+04, -4.1020e+01, -1.7487e+02
6.02653011e+04, -3.9871e+01, -1.7722e+02
5.90570325e+04, -3.9076e+01, -1.7475e+02
5.78729887e+04, -3.7959e+01, -1.7606e+02
5.67126840e+04, -3.7451e+01, -1.7320e+02
5.55756424e+04, -3.6369e+01, -1.7644e+02
5.44613975e+04, -3.5626e+01, -1.7529e+02
5.33694923e+04, -3.4921e+01, -1.7623e+02
5.22994789e+04, -3.4041e+01, -1.7670e+02
5.12509184e+04, -3.3416e+01, -1.7695e+02
5.02233806e+04, -3.2754e+01, -1.7588e+02
4.92164441e+04, -3.2207e+01, -1.7611e+02
4.82296958e+04, -3.1152e+01, -1.7649e+02
4.72627310e+04, -3.0729e+01, -1.7592e+02
4.63151530e+04, -3.0056e+01, -1.7723e+02
4.53865732e+04, -2.9413e+01, -1.7626e+02
4.44766106e+04, -2.8993e+01, -1.7725e+02
4.35848919e+04, -2.8268e+01, -1.7636e+02
4.27110515e+04, -2.7745e+01, -1.7640e+02
4.18547309e+04, -2.7329e+01, -1.7651e+02
4.10155788e+04, -2.6705e+01, -1.7644e+02
4.01932509e+04, -2.6211e+01, -1.7642e+02
3.93874101e+04, -2.5699e+01, -1.7710e+02
3.85977256e+04, -2.5098e+01, -1.7615e+02
3.78238737e+04, -2.4640e+01, -1.7613e+02
3.70655369e+04, -2.4081e+01, -1.7622e+02
3.63224041e+04, -2.3615e+01, -1.7660e+02
3.55941704e+04, -2.3065e+01, -1.7559e+02
3.48805373e+04, -2.2615e+01, -1.7589e+02
3.41812118e+04, -2.2099e+01, -1.7572e+02
3.34959073e+04, -2.1660e+01, -1.7561e+02
3.28243426e+04, -2.1128e+01, -1.7556e+02
3.21662421e+04, -2.0710e+01, -1.7572e+02
3.15213360e+04, -2.0162e+01, -1.7522e+02
3.08893598e+04, -1.9721e+01, -1.7521e+02
3.02700541e+04, -1.9224e+01, -1.7520e+02
2.96631650e+04, -1.8811e+01, -1.7504e+02
2.90684435e+04, -1.8336e+01, -1.7483e+02
2.84856457e+04, -1.7917e+01, -1.7469e+02
2.79145324e+04, -1.7384e+01, -1.7477e+02
2.73548695e+04, -1.6955e+01, -1.7434e+02
2.68064274e+04, -1.6469e+01, -1.7432e+02
2.62689811e+04, -1.6005e+01, -1.7423e+02
2.57423102e+04, -1.5529e+01, -1.7433e+02
2.52261985e+04, -1.5012e+01, -1.7411e+02
2.47204344e+04, -1.4600e+01, -1.7395e+02
2.42248105e+04, -1.4120e+01, -1.7382e+02
2.37391235e+04, -1.3665e+01, -1.7351e+02
2.32631740e+04, -1.3163e+01, -1.7354e+02
2.27967670e+04, -1.2718e+01, -1.7315e+02
2.23397110e+04, -1.2310e+01, -1.7304e+02
2.18918186e+04, -1.1800e+01, -1.7276e+02
2.14529060e+04, -1.1334e+01, -1.7274e+02
2.10227933e+04, -1.0843e+01, -1.7225e+02
2.06013040e+04, -1.0389e+01, -1.7215e+02
2.01882652e+04, -9.9110e+00, -1.7190e+02
1.97835075e+04, -9.4171e+00, -1.7159e+02
1.93868648e+04, -8.9350e+00, -1.7122e+02
1.89981745e+04, -8.4093e+00, -1.7093e+02
1.86172770e+04, -7.9021e+00, -1.7064e+02
1.82440163e+04, -7.3775e+00, -1.7027e+02
1.78782391e+04, -6.8437e+00, -1.6999e+02
1.75197955e+04, -6.2953e+00, -1.6959e+02
1.71685383e+04, -5.7503e+00, -1.6913e+02
1.68243236e+04, -5.1952e+00, -1.6867e+02
1.64870101e+04, -4.6316e+00, -1.6822e+02
1.61564594e+04, -4.0104e+00, -1.6766e+02
1.58325360e+04, -3.3933e+00, -1.6707e+02
1.55151069e+04, -2.7797e+00, -1.6646e+02
1.52040421e+04, -2.1518e+00, -1.6573e+02
1.48992138e+04, -1.5174e+00, -1.6507e+02
1.46004971e+04, -8.6558e-01, -1.6416e+02
1.43077695e+04, -1.8359e-01, -1.6332e+02
1.40209107e+04, 5.3179e-01, -1.6228e+02
1.37398033e+04, 1.2620e+00, -1.6122e+02
1.34643318e+04, 2.0172e+00, -1.5986e+02
1.31943833e+04, 2.7909e+00, -1.5842e+02
1.29298470e+04, 3.6091e+00, -1.5672e+02
1.26706144e+04, 4.4536e+00, -1.5478e+02
1.24165793e+04, 5.3491e+00, -1.5250e+02
1.21676373e+04, 6.2730e+00, -1.4979e+02
1.19236864e+04, 7.2517e+00, -1.4660e+02
1.16846265e+04, 8.2701e+00, -1.4273e+02
1.14503596e+04, 9.3196e+00, -1.3807e+02
1.12207895e+04, 1.0379e+01, -1.3238e+02
1.09958221e+04, 1.1416e+01, -1.2545e+02
1.07753652e+04, 1.2382e+01, -1.1709e+02
1.05593282e+04, 1.3192e+01, -1.0733e+02
1.03476225e+04, 1.3746e+01, -9.6370e+01
1.01401614e+04, 1.3971e+01, -8.4826e+01
9.93685969e+03, 1.3865e+01, -7.3767e+01
9.73763401e+03, 1.3466e+01, -6.3528e+01
9.54240264e+03, 1.2875e+01, -5.4737e+01
9.35108550e+03, 1.2179e+01, -4.7476e+01
9.16360411e+03, 1.1457e+01, -4.1551e+01
8.97988156e+03, 1.0757e+01, -3.6764e+01
8.79984249e+03, 1.0087e+01, -3.2848e+01
8.62341305e+03, 9.4623e+00, -2.9596e+01
8.45052088e+03, 8.8824e+00, -2.6888e+01
8.28109504e+03, 8.3422e+00, -2.4602e+01
8.11506606e+03, 7.8392e+00, -2.2637e+01
7.95236581e+03, 7.3897e+00, -2.0914e+01
7.79292757e+03, 6.9600e+00, -1.9463e+01
7.63668593e+03, 6.5679e+00, -1.8168e+01
7.48357680e+03, 6.2057e+00, -1.7020e+01
7.33353738e+03, 5.8647e+00, -1.6016e+01
7.18650613e+03, 5.5585e+00, -1.5073e+01
7.04242273e+03, 5.2695e+00, -1.4254e+01
6.90122808e+03, 4.9978e+00, -1.3539e+01
6.76286427e+03, 4.7406e+00, -1.2824e+01
6.62727453e+03, 4.5006e+00, -1.2204e+01
6.49440325e+03, 4.2753e+00, -1.1638e+01
6.36419593e+03, 4.0672e+00, -1.1118e+01
6.23659916e+03, 3.8780e+00, -1.0603e+01
6.11156059e+03, 3.6928e+00, -1.0174e+01
5.98902895e+03, 3.5090e+00, -9.7548e+00
5.86895396e+03, 3.3492e+00, -9.4103e+00
5.75128637e+03, 3.1893e+00, -9.0217e+00
5.63597792e+03, 3.0462e+00, -8.6410e+00
5.52298130e+03, 2.8998e+00, -8.3356e+00
5.41225017e+03, 2.7706e+00, -8.0520e+00
5.30373911e+03, 2.6431e+00, -7.7249e+00
5.19740361e+03, 2.5256e+00, -7.4851e+00
5.09320004e+03, 2.4142e+00, -7.2176e+00
4.99108566e+03, 2.3030e+00, -6.9895e+00
4.89101860e+03, 2.2131e+00, -6.7850e+00
4.79295779e+03, 2.1104e+00, -6.5363e+00
4.69686302e+03, 2.0262e+00, -6.3937e+00
4.60269487e+03, 1.9326e+00, -6.1505e+00
4.51041471e+03, 1.8619e+00, -5.9797e+00
4.41998469e+03, 1.7855e+00, -5.7616e+00
4.33136772e+03, 1.6980e+00, -5.5864e+00
4.24452744e+03, 1.6317e+00, -5.4607e+00
4.15942823e+03, 1.5592e+00, -5.3106e+00
4.07603520e+03, 1.4952e+00, -5.1534e+00
3.99431412e+03, 1.4356e+00, -5.0407e+00
3.91423149e+03, 1.3824e+00, -4.8219e+00
3.83575444e+03, 1.3094e+00, -4.7698e+00
3.75885079e+03, 1.2685e+00, -4.6050e+00
3.68348900e+03, 1.2117e+00, -4.4969e+00
3.60963814e+03, 1.1596e+00, -4.3405e+00
3.53726793e+03, 1.1139e+00, -4.3208e+00
3.46634869e+03, 1.0774e+00, -4.1622e+00
3.39685131e+03, 1.0288e+00, -4.0568e+00
3.32874730e+03, 9.8874e-01, -3.8917e+00
3.26200872e+03, 9.4221e-01, -3.8795e+00
3.19660819e+03, 9.0770e-01, -3.7452e+00
3.13251889e+03, 8.7995e-01, -3.6732e+00
3.06971452e+03, 8.4507e-01, -3.6115e+00
3.00816933e+03, 8.0336e-01, -3.5730e+00
2.94785806e+03, 7.7088e-01, -3.4664e+00
2.88875599e+03, 7.3557e-01, -3.3751e+00
2.83083886e+03, 7.1597e-01, -3.2467e+00
2.77408293e+03, 7.0031e-01, -3.2070e+00
2.71846490e+03, 6.6485e-01, -3.1550e+00
2.66396196e+03, 6.4561e-01, -3.0517e+00
2.61055177e+03, 6.0869e-01, -3.0210e+00
2.55821240e+03, 5.8514e-01, -2.8941e+00
2.50692240e+03, 5.7241e-01, -2.8488e+00
2.45666071e+03, 5.4047e-01, -2.7927e+00
2.40740673e+03, 5.3212e-01, -2.7303e+00
2.35914025e+03, 5.0219e-01, -2.6237e+00
2.31184148e+03, 5.0106e-01, -2.6001e+00
2.26549100e+03, 4.7140e-01, -2.5598e+00
2.22006981e+03, 4.5460e-01, -2.4457e+00
2.17555928e+03, 4.1487e-01, -2.4162e+00
2.13194115e+03, 4.2177e-01, -2.3503e+00
2.08919752e+03, 4.0301e-01, -2.2685e+00
2.04731087e+03, 3.8257e-01, -2.3027e+00
2.00626401e+03, 3.7810e-01, -2.2970e+00
1.96604010e+03, 3.5690e-01, -2.1264e+00
1.92662265e+03, 3.5900e-01, -2.0939e+00
1.88799549e+03, 3.3481e-01, -2.0147e+00
1.85014277e+03, 3.2367e-01, -2.0671e+00
1.81304897e+03, 3.0706e-01, -1.9773e+00
1.77669886e+03, 3.0344e-01, -1.9770e+00
1.74107754e+03, 2.9341e-01, -1.8508e+00
1.70617040e+03, 2.7905e-01, -1.9189e+00
1.67196312e+03, 2.8232e-01, -1.7977e+00
1.63844167e+03, 2.5714e-01, -1.8018e+00
1.60559229e+03, 2.5112e-01, -1.7736e+00
1.57340152e+03, 2.4199e-01, -1.6552e+00
1.54185614e+03, 2.3299e-01, -1.7079e+00
1.51094322e+03, 2.2446e-01, -1.6426e+00
1.48065008e+03, 2.2429e-01, -1.6138e+00
1.45096429e+03, 2.0933e-01, -1.5479e+00
1.42187368e+03, 2.1227e-01, -1.4388e+00
1.39336631e+03, 1.9714e-01, -1.4132e+00
1.36543049e+03, 1.6846e-01, -1.4670e+00
1.33805476e+03, 1.8900e-01, -1.3859e+00
1.31122788e+03, 1.7495e-01, -1.3980e+00
1.28493887e+03, 1.7734e-01, -1.3328e+00
1.25917693e+03, 1.6113e-01, -1.3331e+00
1.23393149e+03, 1.7047e-01, -1.3169e+00
1.20919220e+03, 1.6120e-01, -1.3362e+00
1.18494891e+03, 1.5632e-01, -1.2558e+00
1.16119169e+03, 1.4951e-01, -1.2561e+00
1.13791077e+03, 1.4507e-01, -1.2171e+00
1.11509662e+03, 1.3633e-01, -1.2044e+00
1.09273987e+03, 1.4453e-01, -1.1039e+00
1.07083135e+03, 1.2022e-01, -1.0390e+00
1.04936208e+03, 1.2084e-01, -1.0860e+00
1.02832326e+03, 1.1774e-01, -1.0728e+00
1.00770624e+03, 1.2284e-01, -1.1492e+00
9.87502580e+02, 1.2517e-01, -1.0898e+00
9.67703984e+02, 1.2088e-01, -1.1214e+00
9.48302334e+02, 1.1574e-01, -1.0101e+00
9.29289670e+02, 1.2718e-01, -1.0114e+00
9.10658194e+02, 1.2371e-01, -1.0824e+00
8.92400264e+02, 8.7975e-02, -9.3306e-01
8.74508389e+02, 8.5834e-02, -9.7659e-01
8.56975232e+02, 9.2818e-02, -9.4269e-01
8.39793600e+02, 8.7900e-02, -8.0235e-01
8.22956445e+02, 7.9005e-02, -9.7312e-01
8.06456861e+02, 9.1919e-02, -8.9988e-01
7.90288079e+02, 8.4863e-02, -8.5768e-01
7.74443468e+02, 8.6019e-02, -8.3044e-01
7.58916528e+02, 9.5913e-02, -8.0218e-01
7.43700891e+02, 8.8742e-02, -7.7542e-01
7.28790314e+02, 1.0128e-01, -7.4850e-01
7.14178681e+02, 8.7114e-02, -7.8360e-01
6.99860000e+02, 7.6747e-02, -7.3971e-01
6.85828396e+02, 6.5657e-02, -7.4339e-01
6.72078113e+02, 9.3789e-02, -7.4790e-01
6.58603513e+02, 6.7189e-02, -7.0744e-01
6.45399067e+02, 6.6019e-02, -6.4970e-01
6.32459358e+02, 6.3846e-02, -6.1916e-01
6.19779080e+02, 7.3364e-02, -7.2261e-01
6.07353031e+02, 8.1237e-02, -5.5411e-01
5.95176114e+02, 7.7905e-02, -6.8990e-01
5.83243334e+02, 7.5796e-02, -6.1177e-01
5.71549796e+02, 5.5894e-02, -5.1590e-01
5.60090704e+02, 6.3563e-02, -6.1281e-01
5.48861356e+02, 6.4512e-02, -5.0204e-01
5.37857148e+02, 4.2221e-02, -5.0695e-01
5.27073565e+02, 7.8127e-02, -5.8672e-01
5.16506183e+02, 6.4174e-02, -6.3699e-01
5.06150669e+02, 5.4583e-02, -5.1710e-01
4.96002774e+02, 5.5389e-02, -4.1086e-01
4.86058336e+02, 4.5682e-02, -4.8528e-01
4.76313275e+02, 3.6125e-02, -4.7820e-01
4.66763595e+02, 7.8586e-02, -4.1252e-01
4.57405378e+02, 5.3571e-02, -3.8699e-01
4.48234785e+02, 2.3971e-02, -4.6186e-01
4.39248054e+02, 5.7438e-02, -4.9865e-01
4.30441501e+02, 5.1399e-02, -5.6243e-01
4.21811511e+02, 7.1604e-02, -4.7017e-01
4.13354545e+02, 6.1605e-02, -4.1230e-01
4.05067134e+02, 3.7824e-02, -2.7052e-01
3.96945879e+02, 6.6268e-02, -3.3958e-01
3.88987448e+02, 2.6323e-02, -4.0476e-01
3.81188577e+02, 6.4401e-02, -4.5310e-01
3.73546067e+02, 3.7326e-02, -4.6017e-01
3.66056783e+02, 7.2365e-02, -3.1648e-01
3.58717652e+02, 5.5997e-02, -3.1327e-01
3.51525665e+02, 3.5780e-02, -4.0791e-01
3.44477871e+02, 2.5103e-02, -4.0315e-01
3.37571380e+02, 4.3810e-02, -3.1821e-01
3.30803358e+02, 4.6073e-02, -2.7320e-01
3.24171029e+02, 4.3579e-02, -4.5655e-01
3.17671672e+02, 6.0679e-02, -2.2949e-01
3.11302623e+02, 5.0911e-02, -2.9727e-01
3.05061267e+02, 4.5047e-02, -3.2743e-01
2.98945045e+02, 5.1714e-02, -2.4772e-01
2.92951449e+02, 4.3513e-02, -3.5369e-01
2.87078019e+02, 4.6275e-02, -3.1861e-01
2.81322346e+02, 5.9488e-02, -3.9137e-01
2.75682070e+02, 4.5717e-02, -2.9813e-01
2.70154876e+02, 4.5735e-02, -2.8892e-01
2.64738498e+02, 4.0222e-02, -4.1345e-01
2.59430714e+02, 4.7441e-02, -3.6742e-01
2.54229347e+02, 6.2647e-02, -2.8968e-01
2.49132262e+02, 3.6233e-02, -2.7137e-01
2.44137370e+02, 5.3463e-02, -3.1245e-01
2.39242621e+02, 3.7923e-02, -2.9827e-01
2.34446008e+02, 3.2597e-02, -2.7586e-01
2.29745563e+02, 2.8226e-02, -1.8538e-01
2.25139358e+02, 1.8421e-02, -2.8746e-01
2.20625503e+02, 3.7878e-02, -2.5171e-01
2.16202147e+02, 6.1571e-02, -2.2276e-01
