
Frequency (Hz), Channel 1 Magnitude (dB), Channel 1 Phase (deg)
2.06200604e+01, 1.7709e+01, 1.2411e-02
1.99511341e+01, 1.7699e+01, -1.0804e-02
1.93039082e+01, 1.7709e+01, -8.0850e-03
1.86776786e+01, 1.7687e+01, -1.4891e-02
1.80717643e+01, 1.7712e+01, -2.4290e-02
1.74855062e+01, 1.7682e+01, -6.4877e-03
1.69182666e+01, 1.7668e+01, -1.2835e-02
1.63694286e+01, 1.7715e+01, -4.5384e-03
1.58383952e+01, 1.7710e+01, -8.3936e-03
1.53245888e+01, 1.7699e+01, -6.4435e-03
1.48274506e+01, 1.7696e+01, -1.4730e-02
1.43464398e+01, 1.7683e+01, -2.4790e-02
1.38810333e+01, 1.7700e+01, -1.4362e-02
1.34307249e+01, 1.7689e+01, -3.8898e-03
1.29950246e+01, 1.7706e+01, -1.3026e-02
1.25734588e+01, 1.7697e+01, 1.1646e-04
1.21655688e+01, 1.7716e+01, -1.9508e-02
1.17709109e+01, 1.7706e+01, -1.1975e-02
1.13890560e+01, 1.7698e+01, -8.2470e-03
1.10195887e+01, 1.7722e+01, -6.0482e-03
1.06621071e+01, 1.7735e+01, -1.1790e-02
1.03162224e+01, 1.7724e+01, 1.2164e-02
9.98155836e+00, 1.7706e+01, -1.1848e-02
9.65775104e+00, 1.7721e+01, -1.1264e-02
9.34444820e+00, 1.7685e+01, -1.7752e-02
9.04130909e+00, 1.7714e+01, 3.4907e-03
8.74800398e+00, 1.7709e+01, -1.4951e-04
8.46421384e+00, 1.7692e+01, -5.2363e-03
8.18963002e+00, 1.7700e+01, -1.9010e-02
7.92395386e+00, 1.7711e+01, -2.8297e-02
7.66689637e+00, 1.7675e+01, -1.2350e-02
7.41817797e+00, 1.7710e+01, -7.3319e-03
7.17752814e+00, 1.7722e+01, -2.3338e-03
6.94468512e+00, 1.7687e+01, -1.3163e-02
6.71939566e+00, 1.7711e+01, -5.9976e-03
6.50141472e+00, 1.7717e+01, -5.1432e-03
6.29050519e+00, 1.7699e+01, 6.3589e-05
6.08643769e+00, 1.7706e+01, 4.5137e-03
5.88899026e+00, 1.7711e+01, -8.6901e-03
5.69794813e+00, 1.7701e+01, 7.7273e-03
5.51310351e+00, 1.7703e+01, -1.6796e-02
5.33425536e+00, 1.7713e+01, -1.4724e-02
5.16120914e+00, 1.7715e+01, -1.5875e-02
4.99377663e+00, 1.7690e+01, 1.6348e-02
4.83177573e+00, 1.7695e+01, -7.0708e-03
4.67503023e+00, 1.7699e+01, -3.3108e-03
4.52336964e+00, 1.7714e+01, -1.3001e-02
4.37662900e+00, 1.7705e+01, -1.0694e-03
4.23464872e+00, 1.7703e+01, -1.2236e-02
4.09727435e+00, 1.7699e+01, -7.8670e-03
3.96435648e+00, 1.7727e+01, -1.0031e-02
3.83575055e+00, 1.7727e+01, -6.6702e-03
3.71131666e+00, 1.7694e+01, 1.3275e-03
3.59091947e+00, 1.7698e+01, -1.6577e-02
3.47442804e+00, 1.7706e+01, 1.4453e-03
3.36171566e+00, 1.7703e+01, -6.2825e-03
3.25265973e+00, 1.7712e+01, -1.3643e-02
3.14714163e+00, 1.7702e+01, -1.7079e-03
3.04504660e+00, 1.7733e+01, -2.9757e-03
2.94626359e+00, 1.7722e+01, -6.0384e-03
2.85068515e+00, 1.7715e+01, -5.4185e-03
2.75820733e+00, 1.7716e+01, -5.6637e-03
2.66872955e+00, 1.7679e+01, -1.2566e-02
2.58215447e+00, 1.7720e+01, -5.4843e-03
2.49838794e+00, 1.7695e+01, -7.1465e-03
2.41733884e+00, 1.7715e+01, 8.3189e-03
2.33891902e+00, 1.7719e+01, -3.2729e-03
2.26304318e+00, 1.7703e+01, 9.7829e-03
2.18962880e+00, 1.7733e+01, -6.6024e-03
2.11859602e+00, 1.7713e+01, 7.5396e-03
2.04986758e+00, 1.7706e+01, -1.7157e-04
1.98336873e+00, 1.7697e+01, -4.6542e-03
1.91902714e+00, 1.7713e+01, -1.6053e-02
1.85677283e+00, 1.7720e+01, -3.6404e-03
1.79653809e+00, 1.7699e+01, 5.9162e-03
1.73825739e+00, nan, nan
1.68186735e+00, nan, nan
1.62730663e+00, nan, nan
1.57451590e+00, nan, nan
1.52343772e+00, nan, nan
1.47401655e+00, nan, nan
1.42619863e+00, nan, nan
1.37993195e+00, nan, nan
1.33516619e+00, nan, nan
1.29185266e+00, nan, nan
1.24994423e+00, nan, nan
1.20939535e+00, nan, nan
1.17016189e+00, nan, nan
1.13220118e+00, nan, nan
1.09547194e+00, nan, nan
1.05993422e+00, nan, nan
1.02554936e+00, nan, nan
9.92279970e-01, nan, nan
9.60089854e-01, nan, nan
