	mass_B
t	x
2.259167E1	3.791966E-1
2.259500E1	3.788536E-1
2.260000E1	3.781677E-1
2.260333E1	3.778248E-1
2.260833E1	3.774819E-1
2.261167E1	3.764530E-1
2.261667E1	3.754242E-1
2.262000E1	3.750813E-1
2.262500E1	3.743954E-1
2.262833E1	3.726807E-1
2.264167E1	3.719948E-1
2.264500E1	3.713089E-1
2.265000E1	3.709660E-1
2.265500E1	3.692513E-1
2.266333E1	3.685654E-1
2.266667E1	3.671937E-1
2.267167E1	3.658219E-1
2.267500E1	3.658219E-1
2.268000E1	3.654790E-1
2.268333E1	3.641072E-1
2.268833E1	3.630784E-1
2.269167E1	3.623925E-1
2.269667E1	3.603349E-1
2.270833E1	3.589631E-1
2.271333E1	3.579343E-1
2.271667E1	3.572484E-1
2.272167E1	3.565625E-1
2.273000E1	3.551908E-1
2.273333E1	3.534761E-1
2.273833E1	3.527902E-1
2.274167E1	3.521043E-1
2.274667E1	3.517614E-1
2.275000E1	3.507325E-1
2.275500E1	3.490178E-1
2.275833E1	3.476461E-1
2.276333E1	3.473031E-1
2.276667E1	3.466173E-1
2.277167E1	3.445596E-1
2.278000E1	3.438737E-1
2.278333E1	3.421590E-1
2.278833E1	3.414732E-1
2.279167E1	3.394155E-1
2.279667E1	3.390726E-1
2.280000E1	3.383867E-1
2.280500E1	3.366720E-1
2.280833E1	3.356432E-1
2.281333E1	3.349573E-1
2.281667E1	3.342714E-1
2.282167E1	3.322138E-1
2.283000E1	3.298132E-1
2.283833E1	3.284414E-1
2.284167E1	3.274126E-1
2.284667E1	3.256979E-1
2.285000E1	3.250120E-1
2.285500E1	3.243261E-1
2.285833E1	3.232973E-1
2.286333E1	3.222685E-1
2.286667E1	3.212397E-1
2.287167E1	3.198679E-1
2.287500E1	3.188391E-1
2.288000E1	3.174673E-1
2.288333E1	3.150668E-1
2.289167E1	3.136950E-1
2.289667E1	3.116374E-1
2.290500E1	3.095797E-1
2.290833E1	3.088938E-1
2.291333E1	3.078650E-1
2.291667E1	3.068362E-1
2.292167E1	3.051215E-1
2.292500E1	3.030639E-1
2.293000E1	3.016921E-1
2.293333E1	3.006633E-1
2.293833E1	2.992915E-1
2.294167E1	2.975768E-1
2.294667E1	2.962050E-1
2.295500E1	2.941474E-1
2.295833E1	2.920898E-1
2.296667E1	2.896892E-1
2.297167E1	2.886604E-1
2.297500E1	2.866027E-1
2.298000E1	2.845451E-1
2.298333E1	2.838592E-1
2.298833E1	2.824874E-1
2.299167E1	2.811157E-1
2.299667E1	2.800869E-1
2.300000E1	2.783722E-1
2.300500E1	2.773433E-1
2.300833E1	2.756286E-1
2.301333E1	2.708275E-1
2.303000E1	2.680840E-1
2.303333E1	2.663693E-1
2.303833E1	2.649975E-1
2.304167E1	2.622540E-1
2.305000E1	2.595104E-1
2.305500E1	2.581387E-1
2.305833E1	2.574528E-1
2.306333E1	2.564240E-1
2.306667E1	2.550522E-1
2.307167E1	2.533375E-1
2.307500E1	2.516228E-1
2.308000E1	2.502511E-1
2.308333E1	2.492222E-1
2.308833E1	2.454499E-1
2.309667E1	2.440781E-1
2.310000E1	2.423634E-1
2.310500E1	2.413346E-1
2.310833E1	2.396199E-1
2.311333E1	2.385911E-1
2.311667E1	2.372193E-1
2.312167E1	2.358476E-1
2.312500E1	2.334470E-1
2.313000E1	2.317323E-1
2.313333E1	2.296747E-1
2.313833E1	2.265882E-1
2.315000E1	2.224729E-1
2.315833E1	2.211011E-1
2.316333E1	2.193864E-1
2.316667E1	2.163000E-1
2.317500E1	2.135565E-1
2.318000E1	2.125276E-1
2.318333E1	2.108129E-1
2.318833E1	2.094412E-1
2.319167E1	2.077265E-1
2.319667E1	2.053259E-1
2.320000E1	2.029253E-1
2.320500E1	2.018965E-1
2.320833E1	2.005247E-1
2.321333E1	1.994959E-1
2.321667E1	1.960665E-1
2.322500E1	1.940089E-1
2.323000E1	1.926371E-1
2.323333E1	1.912654E-1
2.323833E1	1.888648E-1
2.324167E1	1.864642E-1
2.324667E1	1.844066E-1
2.325000E1	1.830348E-1
2.325500E1	1.816630E-1
2.325833E1	1.806342E-1
2.326333E1	1.792624E-1
2.326667E1	1.778907E-1
2.327167E1	1.754901E-1
2.328000E1	1.730895E-1
2.328333E1	1.710319E-1
2.328833E1	1.676025E-1
2.329667E1	1.648590E-1
2.330167E1	1.634872E-1
2.330500E1	1.617725E-1
2.331000E1	1.607437E-1
2.331333E1	1.597149E-1
2.331833E1	1.576572E-1
2.332167E1	1.562855E-1
2.332667E1	1.545708E-1
2.333000E1	1.525131E-1
2.333500E1	1.507984E-1
2.333833E1	1.494267E-1
2.334333E1	1.473690E-1
2.334667E1	1.453114E-1
2.335500E1	1.425679E-1
2.336000E1	1.405102E-1
2.336333E1	1.391384E-1
2.336833E1	1.377667E-1
2.337167E1	1.360520E-1
2.337667E1	1.336514E-1
2.338000E1	1.322796E-1
2.338500E1	1.312508E-1
2.338833E1	1.302220E-1
2.339333E1	1.285073E-1
2.339667E1	1.264497E-1
2.340167E1	1.237061E-1
2.341000E1	1.209626E-1
2.341333E1	1.192479E-1
2.341833E1	1.178762E-1
2.342167E1	1.161615E-1
2.342667E1	1.147897E-1
2.343000E1	1.141038E-1
2.343500E1	1.120462E-1
2.343833E1	1.106744E-1
2.344333E1	1.089597E-1
2.344667E1	1.065591E-1
2.345167E1	1.055303E-1
2.345500E1	1.038156E-1
2.346000E1	1.021009E-1
2.346833E1	9.935739E-2
2.347167E1	9.695681E-2
2.348000E1	9.455623E-2
2.348500E1	9.249859E-2
2.348833E1	9.112682E-2
2.349333E1	8.941212E-2
2.349667E1	8.804036E-2
2.350167E1	8.701154E-2
2.350500E1	8.529684E-2
2.351000E1	8.358214E-2
2.351333E1	8.186744E-2
2.351833E1	7.912392E-2
2.352167E1	7.809510E-2
2.352667E1	7.603746E-2
2.353500E1	7.329394E-2
2.354333E1	7.020747E-2
2.354667E1	6.883571E-2
2.355167E1	6.780689E-2
2.355500E1	6.677807E-2
2.356000E1	6.540631E-2
2.356333E1	6.369161E-2
2.356833E1	6.163397E-2
2.357167E1	5.923339E-2
2.357667E1	5.854751E-2
2.358000E1	5.751869E-2
2.358500E1	5.614693E-2
2.358833E1	5.374635E-2
2.359333E1	4.894518E-2
2.360500E1	4.757342E-2
2.361000E1	4.620166E-2
2.361333E1	4.482990E-2
2.361833E1	4.311520E-2
2.362167E1	4.140050E-2
2.362667E1	4.002874E-2
2.363000E1	3.899992E-2
2.363500E1	3.797110E-2
2.363833E1	3.659934E-2
2.364333E1	3.591346E-2
2.364667E1	3.488464E-2
2.365167E1	3.214112E-2
2.365500E1	2.802583E-2
2.366833E1	2.699701E-2
2.367167E1	2.493937E-2
2.367667E1	2.356761E-2
2.368000E1	2.116703E-2
2.368833E1	2.048115E-2
2.369333E1	1.876645E-2
2.369667E1	1.773763E-2
2.370167E1	1.670881E-2
2.370500E1	1.533705E-2
2.371000E1	1.430823E-2
2.371333E1	1.362235E-2
2.371833E1	1.087882E-2
2.372167E1	9.850004E-3
2.372667E1	8.478243E-3
2.373000E1	6.763542E-3
2.373833E1	5.391782E-3
2.374333E1	4.705901E-3
2.374667E1	3.334141E-3
2.375167E1	1.276500E-3
2.375500E1	1.276500E-3
2.376000E1	-4.382013E-4
2.376333E1	-1.809962E-3
2.376833E1	-2.495842E-3
2.377167E1	-3.867603E-3
2.377667E1	-5.239364E-3
2.378000E1	-5.582304E-3
2.378833E1	-7.982885E-3
2.379667E1	-9.697586E-3
2.380167E1	-1.106935E-2
2.380500E1	-1.209817E-2
2.381000E1	-1.312699E-2
2.381333E1	-1.346993E-2
2.381833E1	-1.381287E-2
2.382167E1	-1.518463E-2
2.382667E1	-1.621345E-2
2.383000E1	-1.689933E-2
2.383500E1	-1.724227E-2
2.383833E1	-1.792815E-2
2.384333E1	-1.827109E-2
2.384667E1	-2.032873E-2
2.385500E1	-2.204343E-2
2.386333E1	-2.272931E-2
2.386833E1	-2.341519E-2
2.387167E1	-2.478695E-2
2.387667E1	-2.478695E-2
2.388000E1	-2.581577E-2
2.388500E1	-2.615871E-2
2.388833E1	-2.650165E-2
2.389333E1	-2.718753E-2
2.389667E1	-2.821636E-2
2.390167E1	-2.855930E-2
2.390500E1	-2.958812E-2
2.391000E1	-2.958812E-2
2.391333E1	-3.130282E-2
2.392167E1	-3.233164E-2
2.392667E1	-3.267458E-2
2.393000E1	-3.404634E-2
2.393500E1	-3.541810E-2
2.393833E1	-3.541810E-2
2.394333E1	-3.541810E-2
2.394667E1	-3.576104E-2
2.395167E1	-3.576104E-2
2.395667E1	-3.644692E-2
2.396000E1	-3.678986E-2
2.396500E1	-3.747574E-2
2.396833E1	-3.781868E-2
2.397333E1	-3.850456E-2
2.398167E1	-4.021926E-2
2.399000E1	-4.056220E-2
2.399333E1	-4.090514E-2
2.399833E1	-4.090514E-2
2.400167E1	-4.090514E-2
2.400667E1	-4.090514E-2
2.401000E1	-4.090514E-2
2.401500E1	-4.193396E-2
2.401833E1	-4.261984E-2
2.402333E1	-4.330572E-2
2.402667E1	-4.364866E-2
2.403167E1	-4.364866E-2
2.403500E1	-4.364866E-2
2.404000E1	-4.364866E-2
2.404833E1	-4.364866E-2
2.405667E1	-4.364866E-2
2.406000E1	-4.399160E-2
2.406500E1	-4.399160E-2
2.406833E1	-4.399160E-2
2.407333E1	-4.399160E-2
2.407667E1	-4.399160E-2
2.408167E1	-4.399160E-2
2.408500E1	-4.399160E-2
2.409000E1	-4.399160E-2
2.409333E1	-4.399160E-2
2.409833E1	-4.399160E-2
2.410167E1	-4.399160E-2
2.410667E1	-4.399160E-2
2.411500E1	-4.399160E-2
2.411833E1	-4.399160E-2
2.412333E1	-4.399160E-2
2.412667E1	-4.399160E-2
2.413167E1	-4.399160E-2
2.413500E1	-4.399160E-2
