	mass_A
t	x
3.750000E0	-9.376253E1
3.753333E0	-9.298148E1
3.758333E0	-9.302072E1
3.761667E0	-9.152836E1
3.766667E0	-9.094086E1
3.770000E0	-8.994524E1
3.775000E0	-8.927731E1
3.778333E0	-8.867411E1
3.783333E0	-8.805711E1
3.786667E0	-8.668135E1
3.791667E0	-8.570678E1
3.795000E0	-8.506812E1
3.800000E0	-8.414840E1
3.803333E0	-8.322702E1
3.808333E0	-8.257374E1
3.811667E0	-8.144548E1
3.816667E0	-8.095889E1
3.820000E0	-8.010180E1
3.825000E0	-7.845908E1
3.828333E0	-7.861376E1
3.833333E0	-7.659667E1
3.836667E0	-7.637626E1
3.841667E0	-7.487244E1
3.845000E0	-7.368947E1
3.850000E0	-7.287033E1
3.853333E0	-7.106791E1
3.858333E0	-7.007674E1
3.861667E0	-6.899472E1
3.866667E0	-6.791655E1
3.870000E0	-6.680521E1
3.875000E0	-6.567029E1
3.878333E0	-6.427641E1
3.883333E0	-6.305804E1
3.886667E0	-6.204642E1
3.891667E0	-6.084327E1
3.895000E0	-5.974591E1
3.900000E0	-5.863065E1
3.903333E0	-5.724507E1
3.908333E0	-5.612477E1
3.911667E0	-5.513673E1
3.916667E0	-5.445511E1
3.920000E0	-5.277081E1
3.925000E0	-5.124244E1
3.928333E0	-5.015641E1
3.933333E0	-4.862382E1
3.936667E0	-4.703847E1
3.941667E0	-4.601842E1
3.945000E0	-4.488814E1
3.950000E0	-4.299082E1
3.953333E0	-4.209713E1
3.958333E0	-4.068838E1
3.961667E0	-3.924516E1
3.966667E0	-3.815559E1
3.970000E0	-3.639104E1
3.975000E0	-3.469369E1
3.978333E0	-3.347892E1
3.983333E0	-3.201915E1
3.986667E0	-3.098818E1
3.991667E0	-2.907298E1
3.995000E0	-2.835201E1
4.000000E0	-2.671335E1
4.003333E0	-2.500091E1
4.008333E0	-2.355618E1
4.011667E0	-2.177376E1
4.016667E0	-2.026895E1
4.020000E0	-1.889606E1
4.025000E0	-1.697715E1
4.028333E0	-1.609365E1
4.033333E0	-1.441688E1
4.036667E0	-1.332268E1
4.041667E0	-1.131267E1
4.045000E0	-1.047307E1
4.048333E0	-8.733926E0
4.053333E0	-7.103354E0
4.056667E0	-5.168764E0
4.061667E0	-3.976329E0
4.065000E0	-2.260904E0
4.070000E0	-1.057406E0
4.073333E0	8.861836E-1
4.078333E0	1.949170E0
4.081667E0	4.074019E0
4.086667E0	5.428465E0
4.090000E0	7.108405E0
4.095000E0	8.963084E0
4.098333E0	1.033535E1
4.103333E0	1.201346E1
4.106667E0	1.338539E1
4.111667E0	1.494785E1
4.115000E0	1.683828E1
4.120000E0	1.787580E1
4.123333E0	1.990547E1
4.128333E0	2.116845E1
4.131667E0	2.304710E1
4.136667E0	2.492125E1
4.140000E0	2.621511E1
4.145000E0	2.806746E1
4.148333E0	2.988194E1
4.153333E0	3.109187E1
4.156667E0	3.288598E1
4.161667E0	3.419150E1
4.165000E0	3.613661E1
4.170000E0	3.740938E1
4.173333E0	3.893383E1
4.178333E0	4.070403E1
4.181667E0	4.206206E1
4.186667E0	4.379344E1
4.190000E0	4.498854E1
4.195000E0	4.695461E1
4.198333E0	4.823318E1
4.203333E0	4.995054E1
4.206667E0	5.128666E1
4.211667E0	5.294589E1
4.215000E0	5.424959E1
4.220000E0	5.599354E1
4.223333E0	5.735876E1
4.228333E0	5.902741E1
4.231667E0	6.023349E1
4.236667E0	6.214978E1
4.240000E0	6.355546E1
4.245000E0	6.507207E1
4.248333E0	6.684186E1
4.253333E0	6.804285E1
4.256667E0	6.915372E1
4.261667E0	7.085474E1
4.265000E0	7.218584E1
4.270000E0	7.412612E1
4.273333E0	7.522952E1
4.278333E0	7.717437E1
4.281667E0	7.827379E1
4.286667E0	8.008860E1
4.290000E0	8.147335E1
4.295000E0	8.289499E1
4.298333E0	8.395999E1
4.303333E0	8.507639E1
4.306667E0	8.704410E1
4.311667E0	8.792452E1
4.315000E0	8.936712E1
4.320000E0	9.084170E1
4.323333E0	9.198985E1
4.328333E0	9.294074E1
4.331667E0	9.449756E1
4.336667E0	9.577987E1
4.340000E0	9.708485E1
4.345000E0	9.840499E1
4.348333E0	9.977767E1
4.353333E0	1.010797E2
4.356667E0	1.022100E2
4.361667E0	1.031363E2
4.365000E0	1.046205E2
4.370000E0	1.061153E2
4.373333E0	1.071311E2
4.378333E0	1.083318E2
4.381667E0	1.092712E2
4.386667E0	1.104534E2
4.390000E0	1.116076E2
4.395000E0	1.129865E2
4.398333E0	1.139441E2
4.403333E0	1.146586E2
4.406667E0	1.160625E2
4.411667E0	1.170207E2
4.415000E0	1.179247E2
4.420000E0	1.190745E2
4.423333E0	1.201851E2
4.428333E0	1.211329E2
4.431667E0	1.223005E2
4.436667E0	1.226094E2
4.440000E0	1.244119E2
4.443333E0	1.252059E2
4.448333E0	1.259255E2
4.451667E0	1.264892E2
4.456667E0	1.274390E2
4.460000E0	1.278848E2
4.465000E0	1.288856E2
4.468333E0	1.296396E2
4.473333E0	1.299470E2
4.476667E0	1.308650E2
4.481667E0	1.319217E2
4.485000E0	1.318892E2
4.490000E0	1.329722E2
4.493333E0	1.332931E2
4.498333E0	1.339977E2
4.501667E0	1.347084E2
4.506667E0	1.349696E2
4.510000E0	1.358362E2
4.515000E0	1.363676E2
4.518333E0	1.371313E2
4.523333E0	1.375153E2
4.526667E0	1.379160E2
4.531667E0	1.382853E2
4.535000E0	1.392061E2
4.540000E0	1.397992E2
4.543333E0	1.400047E2
4.548333E0	1.400851E2
4.551667E0	1.410338E2
4.556667E0	1.409231E2
4.560000E0	1.412870E2
4.565000E0	1.420368E2
4.568333E0	1.418337E2
4.573333E0	1.418333E2
4.576667E0	1.423061E2
4.581667E0	1.429231E2
4.585000E0	1.429104E2
4.590000E0	1.428090E2
4.593333E0	1.430570E2
4.598333E0	1.435732E2
4.601667E0	1.440207E2
4.606667E0	1.443516E2
4.610000E0	1.435896E2
4.615000E0	1.438399E2
4.618333E0	1.439651E2
4.623333E0	1.439627E2
4.626667E0	1.443315E2
4.631667E0	1.438707E2
4.635000E0	1.440428E2
4.640000E0	1.442833E2
4.643333E0	1.437082E2
4.648333E0	1.438633E2
4.651667E0	1.443747E2
4.656667E0	1.444451E2
4.660000E0	1.434359E2
4.665000E0	1.445421E2
4.668333E0	1.443175E2
4.673333E0	1.445726E2
4.676667E0	1.447266E2
4.681667E0	1.447875E2
4.685000E0	1.438729E2
4.690000E0	1.421438E2
4.693333E0	1.438707E2
4.698333E0	1.435267E2
4.701667E0	1.426911E2
4.706667E0	1.415915E2
4.710000E0	1.418724E2
4.715000E0	1.409384E2
4.718333E0	1.407076E2
4.723333E0	1.399363E2
4.726667E0	1.396090E2
4.731667E0	1.386635E2
4.735000E0	1.387713E2
4.740000E0	1.382516E2
4.743333E0	1.376246E2
4.748333E0	1.367433E2
4.751667E0	1.359642E2
4.756667E0	1.359191E2
4.760000E0	1.352553E2
4.765000E0	1.344983E2
4.768333E0	1.342417E2
4.773333E0	1.328241E2
4.776667E0	1.323383E2
4.781667E0	1.320648E2
